# l = 1
# n = 2
# E = -0.12499976
# r	u(r)	R(r)	V(r)
1.21009758	0.16321760	0.13487970	-0.82637964
1.21259757	0.16368796	0.13498951	-0.82467590
1.21509757	0.16415827	0.13509884	-0.82297918
1.21759756	0.16462855	0.13520769	-0.82128942
1.22009756	0.16509878	0.13531605	-0.81960659
1.22259755	0.16556896	0.13542392	-0.81793064
1.22509755	0.16603909	0.13553132	-0.81626153
1.22759754	0.16650917	0.13563824	-0.81459922
1.23009754	0.16697920	0.13574468	-0.81294366
1.23259753	0.16744917	0.13585064	-0.81129482
1.23509753	0.16791908	0.13595613	-0.80965266
1.23759752	0.16838893	0.13606114	-0.80801713
1.24009752	0.16885871	0.13616567	-0.80638819
1.24259751	0.16932844	0.13626974	-0.80476581
1.24509751	0.16979809	0.13637333	-0.80314995
1.24759750	0.17026767	0.13647644	-0.80154056
1.25009750	0.17073718	0.13657909	-0.79993760
1.25259749	0.17120662	0.13668127	-0.79834105
1.25509749	0.17167597	0.13678298	-0.79675086
1.25759748	0.17214525	0.13688422	-0.79516698
1.26009748	0.17261445	0.13698500	-0.79358940
1.26259747	0.17308356	0.13708531	-0.79201806
1.26509747	0.17355259	0.13718515	-0.79045293
1.26759746	0.17402153	0.13728454	-0.78889397
1.27009746	0.17449038	0.13738346	-0.78734115
1.27259745	0.17495914	0.13748192	-0.78579444
1.27509745	0.17542780	0.13757992	-0.78425378
1.27759744	0.17589636	0.13767745	-0.78271916
1.28009744	0.17636483	0.13777454	-0.78119053
1.28259743	0.17683319	0.13787116	-0.77966786
1.28509743	0.17730146	0.13796733	-0.77815112
1.28759742	0.17776961	0.13806304	-0.77664026
1.29009742	0.17823766	0.13815829	-0.77513526
1.29259741	0.17870560	0.13825310	-0.77363608
1.29509741	0.17917342	0.13834745	-0.77214269
1.29759740	0.17964114	0.13844135	-0.77065506
1.30009740	0.18010873	0.13853480	-0.76917314
1.30259739	0.18057621	0.13862780	-0.76769691
1.30509739	0.18104357	0.13872035	-0.76622634
1.30759738	0.18151080	0.13881245	-0.76476139
1.31009738	0.18197791	0.13890411	-0.76330204
1.31259737	0.18244490	0.13899532	-0.76184824
1.31509737	0.18291175	0.13908609	-0.76039997
1.31759736	0.18337847	0.13917641	-0.75895719
1.32009736	0.18384507	0.13926629	-0.75751988
1.32259735	0.18431152	0.13935573	-0.75608801
1.32509735	0.18477784	0.13944473	-0.75466153
1.32759734	0.18524402	0.13953329	-0.75324043
1.33009734	0.18571006	0.13962141	-0.75182467
1.33259733	0.18617596	0.13970909	-0.75041423
1.33509733	0.18664171	0.13979633	-0.74900906
1.33759732	0.18710731	0.13988314	-0.74760915
1.34009732	0.18757277	0.13996951	-0.74621446
1.34259731	0.18803807	0.14005545	-0.74482497
1.34509731	0.18850323	0.14014096	-0.74344064
1.34759730	0.18896822	0.14022603	-0.74206144
1.35009730	0.18943306	0.14031068	-0.74068736
1.35259729	0.18989774	0.14039489	-0.73931835
1.35509729	0.19036227	0.14047867	-0.73795439
1.35759728	0.19082662	0.14056202	-0.73659546
1.36009728	0.19129082	0.14064495	-0.73524153
1.36259727	0.19175484	0.14072745	-0.73389256
1.36509727	0.19221870	0.14080953	-0.73254853
1.36759726	0.19268239	0.14089118	-0.73120942
1.37009726	0.19314590	0.14097240	-0.72987519
1.37259725	0.19360925	0.14105321	-0.72854583
